subset,label,filename,full_path
Train,happy,ffhq_3412.png,/content/mood_data/Train/happy/ffhq_3412.png
Train,happy,ffhq_3752.png,/content/mood_data/Train/happy/ffhq_3752.png
Train,happy,ffhq_3641.png,/content/mood_data/Train/happy/ffhq_3641.png
Train,happy,ffhq_2896.png,/content/mood_data/Train/happy/ffhq_2896.png
Train,happy,ffhq_3885.png,/content/mood_data/Train/happy/ffhq_3885.png
Train,happy,ffhq_3846.png,/content/mood_data/Train/happy/ffhq_3846.png
Train,happy,ffhq_4217.png,/content/mood_data/Train/happy/ffhq_4217.png
Train,happy,ffhq_4201.png,/content/mood_data/Train/happy/ffhq_4201.png
Train,happy,ffhq_2842.png,/content/mood_data/Train/happy/ffhq_2842.png
Train,happy,ffhq_2925.png,/content/mood_data/Train/happy/ffhq_2925.png
Train,happy,ffhq_4938.png,/content/mood_data/Train/happy/ffhq_4938.png
Train,happy,ffhq_2958.png,/content/mood_data/Train/happy/ffhq_2958.png
Train,happy,ffhq_3368.png,/content/mood_data/Train/happy/ffhq_3368.png
Train,happy,ffhq_3253.png,/content/mood_data/Train/happy/ffhq_3253.png
Train,happy,ffhq_4822.png,/content/mood_data/Train/happy/ffhq_4822.png
Train,happy,ffhq_4408.png,/content/mood_data/Train/happy/ffhq_4408.png
Train,happy,ffhq_3346.png,/content/mood_data/Train/happy/ffhq_3346.png
Train,happy,ffhq_3610.png,/content/mood_data/Train/happy/ffhq_3610.png
Train,happy,ffhq_4373.png,/content/mood_data/Train/happy/ffhq_4373.png
Train,happy,ffhq_3832.png,/content/mood_data/Train/happy/ffhq_3832.png
Train,happy,ffhq_3273.png,/content/mood_data/Train/happy/ffhq_3273.png
Train,happy,ffhq_4565.png,/content/mood_data/Train/happy/ffhq_4565.png
Train,happy,ffhq_4021.png,/content/mood_data/Train/happy/ffhq_4021.png
Train,happy,ffhq_4576.png,/content/mood_data/Train/happy/ffhq_4576.png
Train,happy,ffhq_2720.png,/content/mood_data/Train/happy/ffhq_2720.png
Train,happy,ffhq_4623.png,/content/mood_data/Train/happy/ffhq_4623.png
Train,happy,ffhq_4499.png,/content/mood_data/Train/happy/ffhq_4499.png
Train,happy,ffhq_2872.png,/content/mood_data/Train/happy/ffhq_2872.png
Train,happy,ffhq_4359.png,/content/mood_data/Train/happy/ffhq_4359.png
Train,happy,image0032381.jpg,/content/mood_data/Train/happy/image0032381.jpg
Train,happy,ffhq_4757.png,/content/mood_data/Train/happy/ffhq_4757.png
Train,happy,ffhq_2736.png,/content/mood_data/Train/happy/ffhq_2736.png
Train,happy,ffhq_4197.png,/content/mood_data/Train/happy/ffhq_4197.png
Train,happy,ffhq_4708.png,/content/mood_data/Train/happy/ffhq_4708.png
Train,happy,ffhq_3726.png,/content/mood_data/Train/happy/ffhq_3726.png
Train,happy,ffhq_4879.png,/content/mood_data/Train/happy/ffhq_4879.png
Train,happy,ffhq_4382.png,/content/mood_data/Train/happy/ffhq_4382.png
Train,happy,ffhq_3589.png,/content/mood_data/Train/happy/ffhq_3589.png
Train,happy,ffhq_4167.png,/content/mood_data/Train/happy/ffhq_4167.png
Train,happy,ffhq_4007.png,/content/mood_data/Train/happy/ffhq_4007.png
Train,happy,ffhq_3390.png,/content/mood_data/Train/happy/ffhq_3390.png
Train,happy,ffhq_3221.png,/content/mood_data/Train/happy/ffhq_3221.png
Train,happy,ffhq_3296.png,/content/mood_data/Train/happy/ffhq_3296.png
Train,happy,ffhq_3155.png,/content/mood_data/Train/happy/ffhq_3155.png
Train,happy,ffhq_3214.png,/content/mood_data/Train/happy/ffhq_3214.png
Train,happy,ffhq_3763.png,/content/mood_data/Train/happy/ffhq_3763.png
Train,happy,ffhq_2879.png,/content/mood_data/Train/happy/ffhq_2879.png
Train,happy,ffhq_4039.png,/content/mood_data/Train/happy/ffhq_4039.png
Train,happy,ffhq_2927.png,/content/mood_data/Train/happy/ffhq_2927.png
Train,happy,ffhq_4211.png,/content/mood_data/Train/happy/ffhq_4211.png
Train,happy,ffhq_2887.png,/content/mood_data/Train/happy/ffhq_2887.png
Train,happy,ffhq_4971.png,/content/mood_data/Train/happy/ffhq_4971.png
Train,happy,ffhq_2719.png,/content/mood_data/Train/happy/ffhq_2719.png
Train,happy,ffhq_4099.png,/content/mood_data/Train/happy/ffhq_4099.png
Train,happy,ffhq_4966.png,/content/mood_data/Train/happy/ffhq_4966.png
Train,happy,ffhq_4252.png,/content/mood_data/Train/happy/ffhq_4252.png
Train,happy,ffhq_3060.png,/content/mood_data/Train/happy/ffhq_3060.png
Train,happy,ffhq_3255.png,/content/mood_data/Train/happy/ffhq_3255.png
Train,happy,ffhq_3735.png,/content/mood_data/Train/happy/ffhq_3735.png
Train,happy,ffhq_2704.png,/content/mood_data/Train/happy/ffhq_2704.png
Train,happy,ffhq_3655.png,/content/mood_data/Train/happy/ffhq_3655.png
Train,happy,ffhq_4429.png,/content/mood_data/Train/happy/ffhq_4429.png
Train,happy,ffhq_3477.png,/content/mood_data/Train/happy/ffhq_3477.png
Train,happy,ffhq_4917.png,/content/mood_data/Train/happy/ffhq_4917.png
Train,happy,ffhq_2754.png,/content/mood_data/Train/happy/ffhq_2754.png
Train,happy,ffhq_3000.png,/content/mood_data/Train/happy/ffhq_3000.png
Train,happy,ffhq_4734.png,/content/mood_data/Train/happy/ffhq_4734.png
Train,happy,ffhq_3427.png,/content/mood_data/Train/happy/ffhq_3427.png
Train,happy,ffhq_2724.png,/content/mood_data/Train/happy/ffhq_2724.png
Train,happy,ffhq_4615.png,/content/mood_data/Train/happy/ffhq_4615.png
Train,happy,ffhq_3245.png,/content/mood_data/Train/happy/ffhq_3245.png
Train,happy,ffhq_2797.png,/content/mood_data/Train/happy/ffhq_2797.png
Train,happy,ffhq_4104.png,/content/mood_data/Train/happy/ffhq_4104.png
Train,happy,ffhq_3926.png,/content/mood_data/Train/happy/ffhq_3926.png
Train,happy,ffhq_3396.png,/content/mood_data/Train/happy/ffhq_3396.png
Train,happy,ffhq_3623.png,/content/mood_data/Train/happy/ffhq_3623.png
Train,happy,ffhq_2836.png,/content/mood_data/Train/happy/ffhq_2836.png
Train,happy,ffhq_2831.png,/content/mood_data/Train/happy/ffhq_2831.png
Train,happy,ffhq_3122.png,/content/mood_data/Train/happy/ffhq_3122.png
Train,happy,ffhq_4011.png,/content/mood_data/Train/happy/ffhq_4011.png
Train,happy,ffhq_4386.png,/content/mood_data/Train/happy/ffhq_4386.png
